"","Count_180","idSensore","Year","Month","Count_120"
"326",1,5710,2022,7,28
"327",0,5710,2022,8,7
"328",0,5710,2022,9,1
"329",0,5710,2022,10,0
"330",0,5710,2023,4,0
"331",0,5710,2023,5,0
"332",0,5710,2023,6,11
"333",0,5710,2023,7,13
"334",0,5710,2023,8,16
"335",0,5710,2023,9,1
"336",NA,5710,2023,10,NA
"337",0,5717,2000,4,0
"338",0,5717,2000,5,8
"339",8,5717,2000,6,24
"340",5,5717,2000,7,20
"341",12,5717,2000,8,23
"342",NA,5717,2000,9,NA
"343",0,5717,2000,10,0
"344",0,5717,2001,4,2
"345",7,5717,2001,5,13
"346",9,5717,2001,6,20
"347",11,5717,2001,7,24
"348",12,5717,2001,8,25
"349",0,5717,2001,9,0
"350",NA,5717,2001,10,NA
"351",0,5717,2002,4,1
"352",0,5717,2002,5,4
"353",9,5717,2002,6,19
"354",3,5717,2002,7,18
"355",0,5717,2002,8,12
"356",0,5717,2002,9,2
"357",0,5717,2002,10,0
"358",0,5717,2003,4,2
"359",0,5717,2003,5,13
"360",10,5717,2003,6,30
"361",5,5717,2003,7,26
"362",14,5717,2003,8,27
"363",NA,5717,2003,9,NA
"364",0,5717,2003,10,0
"365",0,5717,2004,4,0
"366",0,5717,2004,5,5
"367",2,5717,2004,6,12
"368",1,5717,2004,7,15
"369",0,5717,2004,8,6
"370",0,5717,2004,9,3
"371",0,5717,2004,10,0
"372",NA,5717,2005,4,NA
"373",0,5717,2005,5,0
"374",NA,5717,2005,6,NA
"375",0,5717,2005,7,8
"376",0,5717,2005,8,0
"377",0,5717,2005,9,0
"378",0,5717,2005,10,0
"379",0,5717,2006,4,0
"380",0,5717,2006,5,0
"381",NA,5717,2006,6,NA
"382",3,5717,2006,7,21
"383",0,5717,2006,8,0
"384",0,5717,2006,9,5
"385",0,5717,2006,10,0
"386",NA,5717,2007,4,NA
"387",2,5717,2007,5,10
"388",0,5717,2007,6,14
"389",5,5717,2007,7,18
"390",0,5717,2007,8,15
"391",0,5717,2007,9,4
"392",0,5717,2007,10,0
"393",NA,5717,2008,4,NA
"394",0,5717,2008,5,6
"395",4,5717,2008,6,12
"396",1,5717,2008,7,17
"397",1,5717,2008,8,13
"398",0,5717,2008,9,1
"399",0,5717,2008,10,0
"400",0,5717,2009,4,0
"401",0,5717,2009,5,7
"402",3,5717,2009,6,13
"403",2,5717,2009,7,16
"404",0,5717,2009,8,9
"405",0,5717,2009,9,0
"406",0,5717,2009,10,0
"407",NA,5717,2010,4,NA
"408",0,5717,2010,5,5
"409",4,5717,2010,6,15
"410",6,5717,2010,7,22
"411",0,5717,2010,8,7
"412",0,5717,2010,9,2
"413",0,5717,2010,10,0
"414",0,5717,2011,4,0
"415",2,5717,2011,5,18
"416",2,5717,2011,6,10
"417",0,5717,2011,7,15
"418",1,5717,2011,8,26
"419",0,5717,2011,9,7
"420",0,5717,2011,10,1
"421",0,5717,2012,4,1
"422",1,5717,2012,5,11
"423",2,5717,2012,6,15
"424",2,5717,2012,7,22
"425",4,5717,2012,8,23
"426",0,5717,2012,9,4
"427",0,5717,2012,10,0
"428",NA,5717,2013,4,NA
"429",0,5717,2013,5,0
"430",1,5717,2013,6,12
"431",3,5717,2013,7,28
"432",1,5717,2013,8,17
"433",0,5717,2013,9,4
"434",0,5717,2013,10,0
"435",0,5717,2014,4,0
"436",0,5717,2014,5,2
"437",5,5717,2014,6,12
"438",0,5717,2014,7,4
"439",NA,5717,2014,8,NA
"440",0,5717,2014,9,1
"441",0,5717,2014,10,0
"442",0,5717,2015,4,3
"443",NA,5717,2015,5,NA
"444",3,5717,2015,6,17
"445",1,5717,2015,7,18
"446",1,5717,2015,8,13
"447",0,5717,2015,9,0
"448",0,5717,2015,10,0
"449",0,5717,2016,4,0
"450",NA,5717,2016,5,NA
"451",NA,5717,2016,6,6
"452",3,5717,2016,7,18
"453",0,5717,2016,8,12
"454",0,5717,2016,9,9
"455",0,5717,2016,10,0
"456",0,5717,2017,4,1
"457",0,5717,2017,5,8
"458",1,5717,2017,6,16
"459",0,5717,2017,7,13
"460",0,5717,2017,8,16
"461",0,5717,2017,9,0
"462",NA,5717,2017,10,NA
"463",0,5717,2018,4,2
"464",0,5717,2018,5,5
"465",1,5717,2018,6,16
"466",0,5717,2018,7,27
"467",1,5717,2018,8,21
"468",0,5717,2018,9,11
"469",0,5717,2018,10,0
"470",0,5717,2019,4,0
"471",0,5717,2019,5,0
"472",3,5717,2019,6,16
"473",4,5717,2019,7,19
"474",0,5717,2019,8,7
"475",0,5717,2019,9,1
"476",0,5717,2019,10,0
"477",0,5717,2020,4,5
"478",0,5717,2020,5,5
"479",0,5717,2020,6,6
"480",0,5717,2020,7,15
"481",0,5717,2020,8,16
"482",0,5717,2020,9,11
"483",0,5717,2020,10,0
"484",0,5717,2021,4,4
"485",0,5717,2021,5,2
"486",2,5717,2021,6,16
"487",0,5717,2021,7,14
"488",3,5717,2021,8,12
"489",0,5717,2021,9,12
"490",0,5717,2021,10,0
"491",0,5717,2022,4,1
"492",0,5717,2022,5,4
"493",NA,5717,2022,6,NA
"494",0,5717,2022,7,21
"495",0,5717,2022,8,9
"496",0,5717,2022,9,0
"497",0,5717,2022,10,0
"498",NA,5717,2023,4,2
"499",NA,5717,2023,5,14
"500",NA,5717,2023,6,23
"501",1,5717,2023,7,24
"502",3,5717,2023,8,19
"503",2,5717,2023,9,10
"504",0,5717,2023,10,3
"505",0,5718,2000,4,0
"506",0,5718,2000,5,7
"507",NA,5718,2000,6,21
"508",5,5718,2000,7,13
"509",NA,5718,2000,8,NA
"510",1,5718,2000,9,5
"511",0,5718,2000,10,0
"512",0,5718,2001,4,2
"513",NA,5718,2001,5,NA
"514",5,5718,2001,6,16
"515",7,5718,2001,7,20
"516",5,5718,2001,8,18
"517",0,5718,2001,9,0
"518",0,5718,2001,10,0
"519",0,5718,2002,4,1
"520",0,5718,2002,5,3
"521",6,5718,2002,6,18
"522",2,5718,2002,7,12
"523",NA,5718,2002,8,NA
"524",0,5718,2002,9,0
"525",0,5718,2002,10,0
"526",0,5718,2003,4,0
"527",0,5718,2003,5,5
"528",5,5718,2003,6,25
"529",1,5718,2003,7,21
"530",10,5718,2003,8,17
"531",0,5718,2003,9,1
"532",0,5718,2003,10,0
"533",NA,5718,2004,4,NA
"534",2,5718,2004,5,17
"535",NA,5718,2004,6,9
"536",2,5718,2004,7,14
"537",0,5718,2004,8,2
"538",0,5718,2004,9,2
"539",0,5718,2004,10,0
"540",0,5718,2005,4,0
"541",0,5718,2005,5,9
"542",NA,5718,2005,6,NA
"543",NA,5718,2005,7,NA
"544",0,5718,2005,8,1
"545",0,5718,2005,9,2
"546",0,5718,2005,10,0
"547",0,5718,2006,4,1
"548",0,5718,2006,5,3
"549",2,5718,2006,6,13
"550",7,5718,2006,7,28
"551",0,5718,2006,8,1
"552",1,5718,2006,9,6
"553",0,5718,2006,10,0
"554",0,5718,2007,4,10
"555",1,5718,2007,5,9
"556",NA,5718,2007,6,NA
"557",5,5718,2007,7,14
"558",1,5718,2007,8,9
"559",0,5718,2007,9,3
"560",0,5718,2007,10,0
"561",0,5718,2008,4,0
"562",0,5718,2008,5,2
"563",1,5718,2008,6,10
"564",2,5718,2008,7,15
"565",2,5718,2008,8,8
"566",0,5718,2008,9,0
"567",0,5718,2008,10,0
"568",0,5718,2009,4,0
"569",1,5718,2009,5,5
"570",0,5718,2009,6,13
"571",0,5718,2009,7,19
"572",0,5718,2009,8,18
"573",0,5718,2009,9,2
"574",0,5718,2009,10,0
"575",0,5718,2010,4,1
"576",0,5718,2010,5,6
"577",1,5718,2010,6,14
"578",4,5718,2010,7,24
