"","Count_180","idSensore","Year","Month","Zone","Area","Type"
"344",0,5717,2001,4,"Cities","U","B"
"345",7,5717,2001,5,"Cities","U","B"
"346",9,5717,2001,6,"Cities","U","B"
"347",11,5717,2001,7,"Cities","U","B"
"348",12,5717,2001,8,"Cities","U","B"
"349",0,5717,2001,9,"Cities","U","B"
"350",NA,5717,2001,10,"Cities","U","B"
"351",0,5717,2002,4,"Cities","U","B"
"352",0,5717,2002,5,"Cities","U","B"
"353",9,5717,2002,6,"Cities","U","B"
"354",3,5717,2002,7,"Cities","U","B"
"355",0,5717,2002,8,"Cities","U","B"
"356",0,5717,2002,9,"Cities","U","B"
"357",0,5717,2002,10,"Cities","U","B"
"358",0,5717,2003,4,"Cities","U","B"
"359",0,5717,2003,5,"Cities","U","B"
"360",10,5717,2003,6,"Cities","U","B"
"361",5,5717,2003,7,"Cities","U","B"
"362",14,5717,2003,8,"Cities","U","B"
"363",NA,5717,2003,9,"Cities","U","B"
"364",0,5717,2003,10,"Cities","U","B"
"365",0,5717,2004,4,"Cities","U","B"
"366",0,5717,2004,5,"Cities","U","B"
"367",2,5717,2004,6,"Cities","U","B"
"368",1,5717,2004,7,"Cities","U","B"
"369",0,5717,2004,8,"Cities","U","B"
"370",0,5717,2004,9,"Cities","U","B"
"371",0,5717,2004,10,"Cities","U","B"
"372",NA,5717,2005,4,"Cities","U","B"
"373",0,5717,2005,5,"Cities","U","B"
"374",NA,5717,2005,6,"Cities","U","B"
"375",0,5717,2005,7,"Cities","U","B"
"376",0,5717,2005,8,"Cities","U","B"
"377",0,5717,2005,9,"Cities","U","B"
"378",0,5717,2005,10,"Cities","U","B"
"379",0,5717,2006,4,"Cities","U","B"
"380",0,5717,2006,5,"Cities","U","B"
"381",NA,5717,2006,6,"Cities","U","B"
"382",3,5717,2006,7,"Cities","U","B"
"383",0,5717,2006,8,"Cities","U","B"
"384",0,5717,2006,9,"Cities","U","B"
"385",0,5717,2006,10,"Cities","U","B"
"386",NA,5717,2007,4,"Cities","U","B"
"387",2,5717,2007,5,"Cities","U","B"
"388",0,5717,2007,6,"Cities","U","B"
"389",5,5717,2007,7,"Cities","U","B"
"390",0,5717,2007,8,"Cities","U","B"
"391",0,5717,2007,9,"Cities","U","B"
"392",0,5717,2007,10,"Cities","U","B"
"393",NA,5717,2008,4,"Cities","U","B"
"394",0,5717,2008,5,"Cities","U","B"
"395",4,5717,2008,6,"Cities","U","B"
"396",1,5717,2008,7,"Cities","U","B"
"397",1,5717,2008,8,"Cities","U","B"
"398",0,5717,2008,9,"Cities","U","B"
"399",0,5717,2008,10,"Cities","U","B"
"400",0,5717,2009,4,"Cities","U","B"
"401",0,5717,2009,5,"Cities","U","B"
"402",3,5717,2009,6,"Cities","U","B"
"403",2,5717,2009,7,"Cities","U","B"
"404",0,5717,2009,8,"Cities","U","B"
"405",0,5717,2009,9,"Cities","U","B"
"406",0,5717,2009,10,"Cities","U","B"
"407",NA,5717,2010,4,"Cities","U","B"
"408",0,5717,2010,5,"Cities","U","B"
"409",4,5717,2010,6,"Cities","U","B"
"410",6,5717,2010,7,"Cities","U","B"
"411",0,5717,2010,8,"Cities","U","B"
"412",0,5717,2010,9,"Cities","U","B"
"413",0,5717,2010,10,"Cities","U","B"
"414",0,5717,2011,4,"Cities","U","B"
"415",2,5717,2011,5,"Cities","U","B"
"416",2,5717,2011,6,"Cities","U","B"
"417",0,5717,2011,7,"Cities","U","B"
"418",1,5717,2011,8,"Cities","U","B"
"419",0,5717,2011,9,"Cities","U","B"
"420",0,5717,2011,10,"Cities","U","B"
"421",0,5717,2012,4,"Cities","U","B"
"422",1,5717,2012,5,"Cities","U","B"
"423",2,5717,2012,6,"Cities","U","B"
"424",2,5717,2012,7,"Cities","U","B"
"425",4,5717,2012,8,"Cities","U","B"
"426",0,5717,2012,9,"Cities","U","B"
"427",0,5717,2012,10,"Cities","U","B"
"428",NA,5717,2013,4,"Cities","U","B"
"429",0,5717,2013,5,"Cities","U","B"
"430",1,5717,2013,6,"Cities","U","B"
"431",3,5717,2013,7,"Cities","U","B"
"432",1,5717,2013,8,"Cities","U","B"
"433",0,5717,2013,9,"Cities","U","B"
"434",0,5717,2013,10,"Cities","U","B"
"435",0,5717,2014,4,"Cities","U","B"
"436",0,5717,2014,5,"Cities","U","B"
"437",5,5717,2014,6,"Cities","U","B"
"438",0,5717,2014,7,"Cities","U","B"
"439",NA,5717,2014,8,"Cities","U","B"
"440",0,5717,2014,9,"Cities","U","B"
"441",0,5717,2014,10,"Cities","U","B"
"442",0,5717,2015,4,"Cities","U","B"
"443",NA,5717,2015,5,"Cities","U","B"
"444",3,5717,2015,6,"Cities","U","B"
"445",1,5717,2015,7,"Cities","U","B"
"446",1,5717,2015,8,"Cities","U","B"
"447",0,5717,2015,9,"Cities","U","B"
"448",0,5717,2015,10,"Cities","U","B"
"449",0,5717,2016,4,"Cities","U","B"
"450",NA,5717,2016,5,"Cities","U","B"
"451",NA,5717,2016,6,"Cities","U","B"
"452",3,5717,2016,7,"Cities","U","B"
"453",0,5717,2016,8,"Cities","U","B"
"454",0,5717,2016,9,"Cities","U","B"
"455",0,5717,2016,10,"Cities","U","B"
"456",0,5717,2017,4,"Cities","U","B"
"457",0,5717,2017,5,"Cities","U","B"
"458",1,5717,2017,6,"Cities","U","B"
"459",0,5717,2017,7,"Cities","U","B"
"460",0,5717,2017,8,"Cities","U","B"
"461",0,5717,2017,9,"Cities","U","B"
"462",NA,5717,2017,10,"Cities","U","B"
"463",0,5717,2018,4,"Cities","U","B"
"464",0,5717,2018,5,"Cities","U","B"
"465",1,5717,2018,6,"Cities","U","B"
"466",0,5717,2018,7,"Cities","U","B"
"467",1,5717,2018,8,"Cities","U","B"
"468",0,5717,2018,9,"Cities","U","B"
"469",0,5717,2018,10,"Cities","U","B"
"470",0,5717,2019,4,"Cities","U","B"
"471",0,5717,2019,5,"Cities","U","B"
"472",3,5717,2019,6,"Cities","U","B"
"473",4,5717,2019,7,"Cities","U","B"
"474",0,5717,2019,8,"Cities","U","B"
"475",0,5717,2019,9,"Cities","U","B"
"476",0,5717,2019,10,"Cities","U","B"
"477",0,5717,2020,4,"Cities","U","B"
"478",0,5717,2020,5,"Cities","U","B"
"479",0,5717,2020,6,"Cities","U","B"
"480",0,5717,2020,7,"Cities","U","B"
"481",0,5717,2020,8,"Cities","U","B"
"482",0,5717,2020,9,"Cities","U","B"
"483",0,5717,2020,10,"Cities","U","B"
"484",0,5717,2021,4,"Cities","U","B"
"485",0,5717,2021,5,"Cities","U","B"
"486",2,5717,2021,6,"Cities","U","B"
"487",0,5717,2021,7,"Cities","U","B"
"488",3,5717,2021,8,"Cities","U","B"
"489",0,5717,2021,9,"Cities","U","B"
"490",0,5717,2021,10,"Cities","U","B"
"491",0,5717,2022,4,"Cities","U","B"
"492",0,5717,2022,5,"Cities","U","B"
"493",NA,5717,2022,6,"Cities","U","B"
"494",0,5717,2022,7,"Cities","U","B"
"495",0,5717,2022,8,"Cities","U","B"
"496",0,5717,2022,9,"Cities","U","B"
"497",0,5717,2022,10,"Cities","U","B"
"498",NA,5717,2023,4,"Cities","U","B"
"499",NA,5717,2023,5,"Cities","U","B"
"500",NA,5717,2023,6,"Cities","U","B"
"501",1,5717,2023,7,"Cities","U","B"
"502",3,5717,2023,8,"Cities","U","B"
"503",2,5717,2023,9,"Cities","U","B"
"504",0,5717,2023,10,"Cities","U","B"
"505",0,5718,2000,4,"A","U","B"
"506",0,5718,2000,5,"A","U","B"
"507",NA,5718,2000,6,"A","U","B"
"508",5,5718,2000,7,"A","U","B"
"509",NA,5718,2000,8,"A","U","B"
"510",1,5718,2000,9,"A","U","B"
"511",0,5718,2000,10,"A","U","B"
"512",0,5718,2001,4,"A","U","B"
"513",NA,5718,2001,5,"A","U","B"
"514",5,5718,2001,6,"A","U","B"
"515",7,5718,2001,7,"A","U","B"
"516",5,5718,2001,8,"A","U","B"
"517",0,5718,2001,9,"A","U","B"
"518",0,5718,2001,10,"A","U","B"
"519",0,5718,2002,4,"A","U","B"
"520",0,5718,2002,5,"A","U","B"
"521",6,5718,2002,6,"A","U","B"
"522",2,5718,2002,7,"A","U","B"
"523",NA,5718,2002,8,"A","U","B"
"524",0,5718,2002,9,"A","U","B"
"525",0,5718,2002,10,"A","U","B"
"526",0,5718,2003,4,"A","U","B"
"527",0,5718,2003,5,"A","U","B"
"528",5,5718,2003,6,"A","U","B"
"529",1,5718,2003,7,"A","U","B"
"530",10,5718,2003,8,"A","U","B"
"531",0,5718,2003,9,"A","U","B"
"532",0,5718,2003,10,"A","U","B"
"533",NA,5718,2004,4,"A","U","B"
"534",2,5718,2004,5,"A","U","B"
"535",NA,5718,2004,6,"A","U","B"
"536",2,5718,2004,7,"A","U","B"
"537",0,5718,2004,8,"A","U","B"
"538",0,5718,2004,9,"A","U","B"
"539",0,5718,2004,10,"A","U","B"
"540",0,5718,2005,4,"A","U","B"
"541",0,5718,2005,5,"A","U","B"
"542",NA,5718,2005,6,"A","U","B"
"543",NA,5718,2005,7,"A","U","B"
"544",0,5718,2005,8,"A","U","B"
"545",0,5718,2005,9,"A","U","B"
"546",0,5718,2005,10,"A","U","B"
"547",0,5718,2006,4,"A","U","B"
"548",0,5718,2006,5,"A","U","B"
"549",2,5718,2006,6,"A","U","B"
"550",7,5718,2006,7,"A","U","B"
"551",0,5718,2006,8,"A","U","B"
